SCHID,STUID,SES,HOMEWORK,WHITE,PARENTED,MATH,SEX,RACE
62821,86,1.049999952,5,1,5,69,1,4
62821,91,1.799999952,5,1,6,68,2,4
62821,92,0.680000007,5,1,4,52,1,4
62821,94,0.230000004,5,1,3,63,1,4
62821,95,1.220000029,2,1,6,55,2,4
62821,96,NA,5,1,5,69,1,4
62821,99,1.179999948,4,1,5,68,1,4
68448,1,0.810000002,3,0,4,69,1,2
68448,6,-0.709999979,1,0,3,46,1,3
68448,16,-0.540000021,2,0,1,46,2,3
68448,18,0.01,1,1,3,44,1,4
68448,19,0.899999976,4,1,5,65,2,4
68448,20,0.970000029,1,1,5,52,1,4
68448,21,-0.140000001,1,1,3,40,1,4
68448,26,-0.129999995,2,0,3,54,2,3
68448,36,-0.879999995,3,1,3,58,1,4
68448,38,1.549999952,2,1,6,53,2,4
68448,43,0.860000014,3,1,6,62,2,4
68448,49,-0.550000012,1,0,2,40,1,3
68448,50,-0.02,2,0,3,34,2,3
68448,51,-0.689999998,1,0,3,41,2,3
68448,53,0.180000007,2,0,3,46,1,3
68448,63,-0.920000017,1,1,3,41,1,4
68448,68,-2.039999962,2,0,1,60,1,3
68448,79,-0.99000001,3,0,2,50,2,3
68448,81,-1.960000038,1,0,1,35,2,3
68448,89,1.049999952,5,1,5,65,2,4
68448,96,-0.349999994,3,0,3,42,2,3
68493,0,0.75999999,1,1,4,48,2,4
68493,7,-1.120000005,1,0,2,45,1,3
68493,8,0.289999992,2,1,3,48,1,4
68493,14,-0.99000001,4,0,2,62,2,3
68493,17,-0.49000001,0,0,4,43,1,3
68493,20,-0.319999993,1,1,2,56,2,4
68493,29,-0.289999992,2,1,2,40,2,4
68493,36,-1.419999957,1,0,2,37,1,3
68493,39,-2.039999962,1,0,1,34,2,3
68493,47,-1.100000024,1,0,1,38,1,3
68493,50,1.25,1,1,5,40,1,4
68493,53,-0.560000002,2,1,2,37,2,4
68493,59,0.709999979,1,1,0,56,1,4
68493,61,-1.330000043,1,0,1,41,2,3
68493,66,-0.119999997,3,1,3,71,1,4
68493,68,-0.689999998,0,1,1,48,2,4
68493,74,NA,1,1,2,42,1,4
68493,82,-1.179999948,1,0,1,41,2,3
68493,88,0.819999993,2,1,6,60,1,4
68493,89,-0.850000024,1,0,2,42,2,3
68493,92,-0.389999986,1,1,2,44,2,4
72292,2,-0.860000014,5,1,2,68,2,4
72292,17,-0.409999996,3,1,3,50,1,4
72292,44,-0.439999998,1,1,2,43,2,4
72292,49,-0.189999998,2,1,3,44,2,4
72292,52,-1.029999971,0,1,2,37,1,4
72292,53,0.029999999,4,1,4,67,1,4
72292,56,-0.720000029,1,1,3,37,1,4
72292,63,-1.279999971,2,1,1,43,2,4
72292,67,-0.839999974,0,1,2,36,2,4
72292,68,-0.49000001,0,1,2,37,1,4
72292,71,-0.670000017,2,1,2,62,1,4
72292,76,0.090000004,3,1,3,64,2,4
72292,77,-0.189999998,3,1,4,64,1,4
72292,82,-0.159999996,1,1,3,37,1,4
72292,85,-0.560000002,0,1,3,46,2,4
72292,89,-0.230000004,2,1,3,43,1,4
72292,92,-1.110000014,0,1,0,45,1,4
72292,97,-0.289999992,1,1,3,47,1,4
72292,98,-1.190000057,1,1,1,34,1,4
72292,99,0.449999988,1,1,4,53,2,4
