Response ID,Status,Age,Gender,Q1,Q2,Q3,Q4,Q5
167,Complete,18-29,Male,Very important,Very important,Agree somewhat,Moderately,Sometimes
168,Complete,30-49,Male,Very important,Absolutely essential,Strongly agree,Moderately,Frequently
169,Complete,18-29,Male,Very important,Of average importance,Neither agree nor disagree,Very much,Sometimes
170,Disqualified,18-29,Male,,,,,
171,Disqualified,30-49,Male,,,,,
172,Disqualified,,,,,,,
173,Disqualified,18-29,Male,,,,,
174,Disqualified,18-29,Male,,,,,
175,Complete,18-29,Male,Of average importance,Of average importance,Neither agree nor disagree,Moderately,Sometimes
176,Complete,65+,Female,Absolutely essential,Absolutely essential,Agree somewhat,Very much,Sometimes
177,Complete,18-29,Female,Absolutely essential,Very important,Agree somewhat,Extremely,All the time
178,Disqualified,30-49,Male,,,,,
179,Disqualified,30-49,Male,,,,,
180,Disqualified,18-29,Female,,,,,
181,Complete,50-64,Female,Absolutely essential,Absolutely essential,Strongly agree,Moderately,Sometimes
182,Disqualified,18-29,Female,,,,,
183,Complete,30-49,Male,Very important,Absolutely essential,Strongly agree,Moderately,Sometimes
184,Complete,30-49,Female,Absolutely essential,Absolutely essential,Strongly agree,Very much,Frequently
185,Complete,30-49,Female,Absolutely essential,Absolutely essential,Strongly agree,Extremely,All the time
186,Complete,30-49,Male,Very important,Absolutely essential,Agree somewhat,Extremely,Frequently
187,Complete,18-29,Male,Very important,Very important,Agree somewhat,Very much,Sometimes
188,Disqualified,18-29,Female,,,,,
189,Complete,30-49,Female,Absolutely essential,Very important,Strongly agree,Moderately,Frequently
190,Complete,30-49,Male,Very important,Of average importance,Agree somewhat,A little bit,Sometimes
191,Complete,30-49,Male,Absolutely essential,Very important,Strongly agree,Very much,Frequently
192,Complete,18-29,Female,Very important,Very important,Agree somewhat,A little bit,Not very often
193,Disqualified,30-49,Female,,,,,
194,Complete,18-29,Female,Very important,Very important,Strongly agree,Very much,Sometimes
195,Complete,30-49,Male,Of little importance,Very important,Strongly agree,Moderately,Frequently
196,Complete,50-64,Female,Of little importance,Absolutely essential,Strongly agree,Very much,Frequently
197,Complete,18-29,Female,Of little importance,Very important,Neither agree nor disagree,Very much,Frequently
198,Complete,30-49,Male,Of little importance,Very important,Strongly agree,Extremely,Frequently
199,Complete,30-49,Female,Very important,Absolutely essential,Agree somewhat,Moderately,Sometimes
200,Complete,30-49,Male,Very important,Very important,Strongly agree,Very much,Frequently
201,Complete,30-49,Male,Absolutely essential,Very important,Strongly agree,Very much,All the time
202,Disqualified,18-29,Male,,,,,
203,Complete,30-49,Male,Absolutely essential,Very important,Agree somewhat,A little bit,Sometimes
204,Disqualified,,,,,,,
205,Disqualified,50-64,Female,,,,,
206,Complete,30-49,Female,Absolutely essential,Absolutely essential,Strongly agree,Extremely,All the time
207,Complete,50-64,Female,Absolutely essential,Absolutely essential,Strongly agree,Very much,All the time
208,Complete,50-64,Female,Absolutely essential,Absolutely essential,Strongly agree,Extremely,Frequently
209,Complete,30-49,Male,Absolutely essential,Absolutely essential,Strongly agree,Very much,Frequently
210,Complete,18-29,Male,Of little importance,Of average importance,Disagree somewhat,Moderately,Frequently
211,Complete,30-49,Male,Of little importance,Of average importance,Agree somewhat,A little bit,Sometimes
212,Complete,30-49,Male,Absolutely essential,Very important,Strongly agree,Very much,Frequently
213,Complete,18-29,Male,Of little importance,Of little importance,Disagree somewhat,Moderately,Not very often
214,Complete,30-49,Male,Absolutely essential,Absolutely essential,Strongly agree,Extremely,All the time
215,Complete,30-49,Female,Very important,Very important,Strongly agree,Extremely,All the time
216,Complete,18-29,Male,Absolutely essential,Very important,Strongly agree,Moderately,Sometimes
217,Disqualified,18-29,Male,,,,,
218,Disqualified,30-49,Male,,,,,
219,Complete,50-64,Female,Absolutely essential,Very important,Strongly agree,Moderately,Sometimes
220,Complete,50-64,Male,Absolutely essential,Very important,Strongly agree,Very much,Frequently
221,Disqualified,50-64,Female,,,,,
222,Complete,30-49,Male,Absolutely essential,Absolutely essential,Strongly agree,A little bit,Sometimes
223,Complete,30-49,Male,Absolutely essential,Absolutely essential,Strongly agree,Extremely,All the time
224,Complete,30-49,Female,Absolutely essential,Very important,Strongly agree,Very much,Frequently
225,Complete,30-49,Male,Absolutely essential,Very important,Strongly agree,Extremely,Frequently
226,Complete,18-29,Male,Absolutely essential,Very important,Agree somewhat,Moderately,Sometimes
227,Complete,18-29,Male,Absolutely essential,Absolutely essential,Strongly agree,Extremely,All the time
228,Complete,30-49,Female,Absolutely essential,Absolutely essential,Strongly agree,Extremely,All the time
229,Complete,30-49,Female,Absolutely essential,Absolutely essential,Strongly agree,A little bit,Sometimes
230,Complete,30-49,Male,Absolutely essential,Very important,Strongly agree,A little bit,Sometimes
231,Disqualified,30-49,Male,,,,,
232,Complete,30-49,Male,Very important,Of average importance,Strongly agree,Very much,All the time
233,Disqualified,30-49,Male,,,,,
234,Disqualified,30-49,Female,,,,,
235,Complete,30-49,Male,Very important,Very important,Agree somewhat,Moderately,Sometimes
236,Complete,50-64,Male,Absolutely essential,Very important,Strongly agree,Extremely,All the time
237,Complete,30-49,Male,Very important,Of average importance,Agree somewhat,Moderately,Sometimes
238,Complete,18-29,Male,Absolutely essential,Absolutely essential,Strongly agree,Extremely,Frequently
239,Disqualified,18-29,Male,,,,,
240,Disqualified,Prefer not to answer,,,,,,
241,Complete,18-29,Male,Very important,Very important,Agree somewhat,Moderately,Frequently
242,Complete,18-29,Male,Very important,Very important,Agree somewhat,Very much,Frequently
243,Complete,18-29,Male,Of little importance,Very important,Agree somewhat,Moderately,Sometimes
244,Disqualified,,,,,,,
245,Complete,50-64,Female,Absolutely essential,Absolutely essential,Strongly agree,Extremely,Sometimes
246,Disqualified,18-29,Male,,,,,
